danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist,hot_100,cluster
0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4,under the influence,chris brown,1,7
0.507,0.496,4,-9.082,1,0.0489,0.397,9.03e-05,0.364,0.299,189.077,audio_features,6Y9HP2CDrCISKcvAqY0fBo,spotify:track:6Y9HP2CDrCISKcvAqY0fBo,https://api.spotify.com/v1/tracks/6Y9HP2CDrCISKcvAqY0fBo,https://api.spotify.com/v1/audio-analysis/6Y9HP2CDrCISKcvAqY0fBo,139360,3,golden hour,jvke,1,0
0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,audio_features,5uU1uuyaUIBOiiUSQG7Wl3,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/tracks/5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/audio-analysis/5uU1uuyaUIBOiiUSQG7Wl3,157478,4,you proof,morgan wallen,1,4
0.645,0.366,1,-11.249,1,0.0335,0.807,0.0,0.12,0.445,122.116,audio_features,1QLMOpJ9hjifk5pEiJdXMN,spotify:track:1QLMOpJ9hjifk5pEiJdXMN,https://api.spotify.com/v1/tracks/1QLMOpJ9hjifk5pEiJdXMN,https://api.spotify.com/v1/audio-analysis/1QLMOpJ9hjifk5pEiJdXMN,207541,3,rock and a hard place,bailey zimmerman,1,1
0.645,0.366,1,-11.249,1,0.0335,0.807,0.0,0.12,0.445,122.116,audio_features,1QLMOpJ9hjifk5pEiJdXMN,spotify:track:1QLMOpJ9hjifk5pEiJdXMN,https://api.spotify.com/v1/tracks/1QLMOpJ9hjifk5pEiJdXMN,https://api.spotify.com/v1/audio-analysis/1QLMOpJ9hjifk5pEiJdXMN,207541,3,rock and a hard place,bailey zimmerman,1,6
0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3,something in the orange,zach bryan,1,1
0.592,0.769,1,-7.154,1,0.0256,0.00458,1.09e-06,0.0934,0.735,136.046,audio_features,6oJe2ZmepeYTtsHedYwwLr,spotify:track:6oJe2ZmepeYTtsHedYwwLr,https://api.spotify.com/v1/tracks/6oJe2ZmepeYTtsHedYwwLr,https://api.spotify.com/v1/audio-analysis/6oJe2ZmepeYTtsHedYwwLr,164027,4,thank god,kane brown with katelyn brown,1,2
0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,audio_features,4k6Uh1HXdhtusDW5y8Gbvy,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/tracks/4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/audio-analysis/4k6Uh1HXdhtusDW5y8Gbvy,232067,4,bad habit,steve lacy,1,1
0.565,0.56,6,-6.034,1,0.0275,0.538,0.0,0.0961,0.325,159.931,audio_features,67AdiJcurlf6gocGobfaXs,spotify:track:67AdiJcurlf6gocGobfaXs,https://api.spotify.com/v1/tracks/67AdiJcurlf6gocGobfaXs,https://api.spotify.com/v1/audio-analysis/67AdiJcurlf6gocGobfaXs,177267,4,"going, going, gone",luke combs,1,1
0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,audio_features,5mHdCZtVyb4DcJw8799hZp,spotify:track:5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/tracks/5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/audio-analysis/5mHdCZtVyb4DcJw8799hZp,272373,4,escapism,raye featuring 070 shake,1,7
0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,audio_features,0vjeOZ3Ft5jvAi9SBFJm1j,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/audio-analysis/0vjeOZ3Ft5jvAi9SBFJm1j,182667,4,superhero (heroes & villains),"metro boomin, future & chris brown",1,6
0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,audio_features,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/tracks/5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/audio-analysis/5jQI2r1RdgtuT8S3iG8zFC,202396,4,lavender haze,taylor swift,1,7
0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4,calm down,rema & selena gomez,1,2
0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,audio_features,6UN73IYd0hZxLi8wFPMQij,spotify:track:6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/tracks/6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/audio-analysis/6UN73IYd0hZxLi8wFPMQij,139560,4,players,coi leray,1,2
0.421,0.323,6,-9.82,1,0.0409,0.797,0.0,0.112,0.406,155.96,audio_features,0g1ivb6zmj9gnDHVDD2R3O,spotify:track:0g1ivb6zmj9gnDHVDD2R3O,https://api.spotify.com/v1/tracks/0g1ivb6zmj9gnDHVDD2R3O,https://api.spotify.com/v1/audio-analysis/0g1ivb6zmj9gnDHVDD2R3O,173960,4,shirt,sza,1,1
0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,audio_features,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373,4,sure thing,miguel,1,7
0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,audio_features,0JXXNGljqupsJaZsgSbMZV,spotify:track:0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/tracks/0JXXNGljqupsJaZsgSbMZV,https://api.spotify.com/v1/audio-analysis/0JXXNGljqupsJaZsgSbMZV,195373,4,sure thing,miguel,1,7
0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,48UKTR66uUOT9LaUvooTNx,spotify:track:48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/tracks/48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/audio-analysis/48UKTR66uUOT9LaUvooTNx,224427,4,the kind of love we make,luke combs,1,7
0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,48UKTR66uUOT9LaUvooTNx,spotify:track:48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/tracks/48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/audio-analysis/48UKTR66uUOT9LaUvooTNx,224427,4,the kind of love we make,luke combs,1,7
0.587,0.632,9,-5.416,1,0.0311,0.148,1.01e-05,0.158,0.392,139.974,audio_features,5ZCjp56T8J6d7amJyFSzrI,spotify:track:5ZCjp56T8J6d7amJyFSzrI,https://api.spotify.com/v1/tracks/5ZCjp56T8J6d7amJyFSzrI,https://api.spotify.com/v1/audio-analysis/5ZCjp56T8J6d7amJyFSzrI,199040,4,heart like a truck,lainey wilson,1,7
0.573,0.614,2,-6.048,0,0.0384,0.12,0.552,0.408,0.241,121.999,audio_features,2He8NHyJOxYtBiZXBccmU0,spotify:track:2He8NHyJOxYtBiZXBccmU0,https://api.spotify.com/v1/tracks/2He8NHyJOxYtBiZXBccmU0,https://api.spotify.com/v1/audio-analysis/2He8NHyJOxYtBiZXBccmU0,183443,4,"bzrp music sessions, vol. 53",bizarrap & shakira,1,4
0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4,snooze,sza,1,0
0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,audio_features,0T5iIrXA4p5GsubkhuBIKV,spotify:track:0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/tracks/0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/audio-analysis/0T5iIrXA4p5GsubkhuBIKV,177720,3,until i found you,stephen sanchez,1,1
0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,1NUSXgqkenc0sP7idI2s8g,spotify:track:1NUSXgqkenc0sP7idI2s8g,https://api.spotify.com/v1/tracks/1NUSXgqkenc0sP7idI2s8g,https://api.spotify.com/v1/audio-analysis/1NUSXgqkenc0sP7idI2s8g,189893,4,wait for u,future featuring drake & tems,1,6
0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,audio_features,0O6u0VJ46W86TxN9wgyqDj,spotify:track:0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/tracks/0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/audio-analysis/0O6u0VJ46W86TxN9wgyqDj,192841,4,i like you (a happier song),post malone featuring doja cat,1,7
0.566,0.845,8,-3.817,1,0.0265,0.00475,0.000822,0.148,0.698,103.97,audio_features,0cv6mTbrqr8vxGC31NjKtM,spotify:track:0cv6mTbrqr8vxGC31NjKtM,https://api.spotify.com/v1/tracks/0cv6mTbrqr8vxGC31NjKtM,https://api.spotify.com/v1/audio-analysis/0cv6mTbrqr8vxGC31NjKtM,187047,4,i wrote the book,morgan wallen,1,2
0.566,0.845,8,-3.817,1,0.0265,0.00475,0.000822,0.148,0.698,103.97,audio_features,0cv6mTbrqr8vxGC31NjKtM,spotify:track:0cv6mTbrqr8vxGC31NjKtM,https://api.spotify.com/v1/tracks/0cv6mTbrqr8vxGC31NjKtM,https://api.spotify.com/v1/audio-analysis/0cv6mTbrqr8vxGC31NjKtM,187047,4,i wrote the book,morgan wallen,1,2
0.529,0.602,7,-4.629,1,0.0458,0.299,0.0,0.0716,0.756,157.643,audio_features,0IKeDy5bT9G0bA7ZixRT4A,spotify:track:0IKeDy5bT9G0bA7ZixRT4A,https://api.spotify.com/v1/tracks/0IKeDy5bT9G0bA7ZixRT4A,https://api.spotify.com/v1/audio-analysis/0IKeDy5bT9G0bA7ZixRT4A,271862,4,bebe dame,fuerza regida x grupo frontera,1,0
0.72,0.584,0,-10.881,1,0.348,0.00993,0.899,0.111,0.333,160.64,audio_features,7ooJqwO8IpUjwu363KLOiX,spotify:track:7ooJqwO8IpUjwu363KLOiX,https://api.spotify.com/v1/tracks/7ooJqwO8IpUjwu363KLOiX,https://api.spotify.com/v1/audio-analysis/7ooJqwO8IpUjwu363KLOiX,207541,4,tomorrow 2,glorilla & cardi b,1,1
0.72,0.584,0,-10.881,1,0.348,0.00993,0.899,0.111,0.333,160.64,audio_features,7ooJqwO8IpUjwu363KLOiX,spotify:track:7ooJqwO8IpUjwu363KLOiX,https://api.spotify.com/v1/tracks/7ooJqwO8IpUjwu363KLOiX,https://api.spotify.com/v1/audio-analysis/7ooJqwO8IpUjwu363KLOiX,207541,4,tomorrow 2,glorilla & cardi b,1,6
0.836,0.743,10,-6.305,0,0.0653,0.0974,0.0,0.335,0.723,108.965,audio_features,6HMtHNpW6YPi1hrw9tgF8P,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,https://api.spotify.com/v1/tracks/6HMtHNpW6YPi1hrw9tgF8P,https://api.spotify.com/v1/audio-analysis/6HMtHNpW6YPi1hrw9tgF8P,191938,4,about damn time,lizzo,1,2
0.534,0.466,6,-6.98,1,0.0272,0.277,0.0,0.0979,0.23,140.0,audio_features,7trjNYF5ek7zX4GKSHQZbP,spotify:track:7trjNYF5ek7zX4GKSHQZbP,https://api.spotify.com/v1/tracks/7trjNYF5ek7zX4GKSHQZbP,https://api.spotify.com/v1/audio-analysis/7trjNYF5ek7zX4GKSHQZbP,277660,4,wait in the truck,hardy featuring lainey wilson,1,7
0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,audio_features,200x8ONbPfFzByUr3fVz46,spotify:track:200x8ONbPfFzByUr3fVz46,https://api.spotify.com/v1/tracks/200x8ONbPfFzByUr3fVz46,https://api.spotify.com/v1/audio-analysis/200x8ONbPfFzByUr3fVz46,206107,4,she had me at heads carolina,cole swindell,1,0
0.376,0.279,7,-8.166,1,0.0285,0.801,0.0,0.157,0.312,100.69,audio_features,0impvergaW8CuQS2OcEWMu,spotify:track:0impvergaW8CuQS2OcEWMu,https://api.spotify.com/v1/tracks/0impvergaW8CuQS2OcEWMu,https://api.spotify.com/v1/audio-analysis/0impvergaW8CuQS2OcEWMu,180853,4,nobody gets me,sza,1,1
0.675,0.726,2,-6.459,1,0.0461,0.105,0.0,0.153,0.671,124.872,audio_features,6HBRLaSQ7NB8MNlaqzYen1,spotify:track:6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/tracks/6HBRLaSQ7NB8MNlaqzYen1,https://api.spotify.com/v1/audio-analysis/6HBRLaSQ7NB8MNlaqzYen1,186791,4,what my world spins around,jordan davis,1,2
0.779,0.268,0,-12.151,0,0.0386,0.147,0.0564,0.292,0.851,123.985,audio_features,0VcjLdbZzo8Od3aEkDBiPp,spotify:track:0VcjLdbZzo8Od3aEkDBiPp,https://api.spotify.com/v1/tracks/0VcjLdbZzo8Od3aEkDBiPp,https://api.spotify.com/v1/audio-analysis/0VcjLdbZzo8Od3aEkDBiPp,170351,4,unstoppable,sia,1,2
0.614,0.913,7,-5.126,1,0.0296,0.0042,1.72e-06,0.26,0.92,141.982,audio_features,6KGtAlYvgm4W9PoYabFAYE,spotify:track:6KGtAlYvgm4W9PoYabFAYE,https://api.spotify.com/v1/tracks/6KGtAlYvgm4W9PoYabFAYE,https://api.spotify.com/v1/audio-analysis/6KGtAlYvgm4W9PoYabFAYE,206865,4,one thing at a time,morgan wallen,1,2
0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,audio_features,6Tm4Io4ct4w14nB1EUzsY3,spotify:track:6Tm4Io4ct4w14nB1EUzsY3,https://api.spotify.com/v1/tracks/6Tm4Io4ct4w14nB1EUzsY3,https://api.spotify.com/v1/audio-analysis/6Tm4Io4ct4w14nB1EUzsY3,183790,4,whiskey on you,nate smith,1,7
0.447,0.441,0,-7.658,1,0.0456,0.874,4.36e-05,0.188,0.286,122.811,audio_features,42TtHTxWk782ZBiqyOi2d1,spotify:track:42TtHTxWk782ZBiqyOi2d1,https://api.spotify.com/v1/tracks/42TtHTxWk782ZBiqyOi2d1,https://api.spotify.com/v1/audio-analysis/42TtHTxWk782ZBiqyOi2d1,290892,4,dawns,zach bryan featuring maggie rogers,1,1
